browser_name,pct_input,wild_mouse_duration,pct_scroll_move_duration,pct_wild_mouse,session_start,pct_doubleclick,pct_rage_click,pct_click,page_activity_duration,product_ean,pct_scrandom,mouse_move_total_rel_distance,pct_click_product_info,scroll_move_total_rel_distance,session_id,pct_mouse_click,pct_scroll_move,user_id,screen_width,session_duration,screen_height,total_load_time,ack,pct_mouse_move
edge,0.07114,8.50399,10.22425,50.65504,2023-03-15 10:38:49,8.60861,31.55566,9.14238,9.00478,4976359823798,33.93644,8.16204,83.80201,9.01873,1384090,10.85479,40.95942,1938,1024,172.7516,768,1.25914,0.0,8.62751
chrome,0.10109,8.95544,9.69347,76.73518,2023-04-25 09:19:12,10.12348,55.21685,9.43285,7.24299,6948089507666,32.03816,13.65638,56.46622,7.29786,138437,8.35874,49.77018,834,1024,85.38824,1080,3.82229,0.0,8.86196
edge,0.05422,7.99251,10.64177,53.55736,2021-11-12 18:20:39,12.81362,65.05878,8.88427,8.57273,5740808007751,69.57321,9.65343,43.55193,9.46889,988013,11.19418,37.02088,234,1024,211.85166,lower,2.95435,0.0,12.63785
chrome,2.93337,12.43313,11.66496,53.57269,2019-06-16 11:52:21,11.4746,42.03178,5.90567,14.83796,8318220484633,47.33942,12.78577,53.31119,11.07395,533628,11.25099,53.48991,480,1366,85.23374,800,9.5433095,1.0,16.44114
chrome,0.21288,9.76466,8.9087,43.65316,2019-05-03 01:20:55,10.12207,71.27358,10.58331,10.90086,6289105948552,56.8291,13.52185,49.69498,7.64556,852437,9.854,57.25751,1859,800,117.35822,768,2.54138,0.0,9.14993
firefox,0.0609,8.15451,11.052,66.41063,2023-07-17 15:06:10,8.43877,56.58394,11.46619,11.86958,9947459905634,50.34713,12.34594,68.8145,7.15739,1032656,10.96685,33.31373,2319,higher,159.75206,1080,1.33186,0.0,7.67341
chrome,1.20195,11.52778,12.13323,61.61002,2019-06-26 14:29:34,8.2413,58.38145,8.08351,12.74824,3296147457013,58.02183,14.39074,60.18442,13.54007,304922,10.33379,46.27738,2358,800,90.38735,768,2.08801,1.0,15.04816
edge,0.03892,7.44773,9.94266,47.36587,2022-12-17 02:03:01,13.85282,72.54385,6.74414,9.66672,2507390908346,22.8164,10.68391,52.30728,7.31481,84958,10.22401,63.44546,2098,1920,192.53093,768,4.11106,0.0,14.03262
edge,0.07007,8.38669,10.66047,47.06182,2021-10-19 22:24:42,8.47639,43.20866,13.05955,13.15473,5505991313665,38.32439,12.55436,58.22715,7.94889,760290,11.40145,67.10325,920,1024,125.72435,800,7.86661,0.0,7.60803
edge,0.04383,7.38157,10.57099,37.38985,2020-12-22 15:23:42,12.33285,55.24227,7.20068,9.7408,9630748947544,62.80569,12.70886,51.2594,7.58077,479657,11.74773,60.43267,1939,1920,162.31247,768,3.70512,0.0,13.6253
safari,2.24061,12.1583,9.46085,49.63227,2019-06-23 22:31:42,9.01089,68.01844,8.54863,13.77421,6723577420999,49.70967,13.73994,57.31651,13.0847,894424,10.59984,82.26625,1710,1920,178.5838,768,0.6958449999999999,1.0,14.6498
