location	product_ean	store_name	code
Asia/Kolkata	5095339888011	Kalavoor	IN
America/New_York	1499713041384	Sicklerville	US
America/New_York	5512258529158	Dublin	US
Asia/Bishkek	2068078928129	Jalal-Abad	KG
Europe/Rome	7506067507665	San Giuliano Milanese	IT
Europe/Dublin	9025752606844	An Muileann gCearr	IE
Asia/Kuala_Lumpur	6238002743302	Gua Musang	MY
America/Chicago	1116622585838	Odessa	US
Asia/Shanghai	2368857758160	Liaoyang	CN
Asia/Shanghai	3139687657140	Danjiangkou	CN
Asia/Karachi	5769783083833	Mianwali	PK
America/Panama	5970314919440	Veracruz	PA
America/New_York	7961372740778	Woodlawn	US
America/Los_Angeles	7152425469078	Pahrump	US
Africa/Kinshasa	2533308497114	Kasangulu	CD
Asia/Makassar	9051367983667	Tarakan	ID
America/Phoenix	4726929854512	Scottsdale	US
Asia/Shanghai	4237668995072	Zhuangyuan	CN
Europe/Lisbon	3379987310424	Carnaxide	PT
Australia/Sydney	9050340205413	Baulkham Hills	AU
Asia/Shanghai	0455122745320	Nanpiao	CN
America/New_York	2038614215358	Acworth	US
Asia/Jakarta	2841950465017	Kudus	ID
Europe/Skopje	1544087501238	Saraj	MK
Asia/Yekaterinburg	7104002163640	Kachkanar	RU
Europe/Berlin	7403607589641	Karben	DE
Asia/Kuala_Lumpur	6322551682738	Batu Feringgi	MY
Asia/Almaty	6738901558699	Zaysan	KZ
Europe/Bratislava	2937833062548	Skalica	SK
Africa/Dar_es_Salaam	2937682932863	Chanika	TZ
Europe/Istanbul	0774873420523	Sungurlu	TR
Asia/Shanghai	5697178012284	Wacheng	CN
Asia/Tokyo	2087472319999	Hita	JP
Europe/Istanbul	7859178077900	Bergama	TR
America/Sao_Paulo	5245328737411	Caldas Novas	BR
Asia/Vladivostok	9999216757444	Lesozavodsk	RU
Asia/Baku	8439838098699	Astara	AZ
America/Bogota	2441382050524	Madrid	CO
America/Detroit	4392133501506	Canton	US
Europe/Brussels	2582651136300	Temse	BE
Asia/Baghdad	0044421477874	Karbala	IQ
Asia/Kolkata	1139156369811	Amreli	IN
Europe/Berlin	2951066587722	Schleswig	DE
Europe/Moscow	1696565732594	Danilov	RU
America/Chicago	8681861065821	Jackson	US
America/New_York	7058596470205	Bon Air	US
Europe/Sofia	6606816632189	Aytos	BG
Africa/Lubumbashi	3265585514206	Beni	CD
America/Detroit	2046235171021	Canton	US
Asia/Kolkata	2727936508902	Sambalpur	IN
Europe/Saratov	5768968791020	Privolzhskiy	RU
Asia/Jakarta	3908044080170	Jambi City	ID
Europe/Paris	1542526026618	Le Chesnay	FR
America/New_York	0900581632204	Waterbury	US
America/Bogota	4675209309962	Honda	CO
America/Matamoros	2462891293981	Heroica Matamoros	MX
Asia/Karachi	5811592013744	Naushahra Virkan	PK
America/Sao_Paulo	9201328520237	Marau	BR
Europe/Madrid	0862642812690	Talavera de la Reina	ES
Asia/Shanghai	2408214401497	Jiangyan	CN
Europe/Paris	8156955467770	Cavaillon	FR
Europe/Rome	1779954705475	Ventimiglia	IT
America/Chicago	5311984900589	Vestavia Hills	US
Europe/Moscow	9351803227981	Severodvinsk	RU
Africa/Lubumbashi	4466460832432	Beni	CD
Asia/Tokyo	2632913486558	Ina	JP
America/Los_Angeles	1946448897354	Encinitas	US
Europe/London	2120071992122	High Wycombe	GB
Asia/Yangon	4266001106066	Dawei	MM
Asia/Karachi	7611788342850	Sillanwali	PK
America/El_Salvador	1921499917954	Ilopango	SV
Asia/Jakarta	0443879782606	Simpang	ID
Europe/Madrid	7431350013892	Villaquilambre	ES
America/New_York	3143171792644	Sicklerville	US
Europe/Kiev	0843999459677	Voznesensk	UA
America/Chicago	2860141700423	Independence	US
Europe/Moscow	9169724806846	Arzamas	RU
Europe/London	4205674084622	Aberdeen	GB
Australia/Brisbane	2056803055530	Carindale	AU
Indian/Antananarivo	5719677080479	Sakaraha	MG
America/Caracas	6598319568747	Tinaquillo	VE
Africa/Lagos	0553454557502	Ilesa	NG
America/Los_Angeles	3088411260364	Kent	US
America/New_York	9802441714321	Palm Valley	US
Europe/Moscow	9334649489645	Shushary	RU
America/Port-au-Prince	8867294510811	Croix-des-Bouquets	HT
Europe/Kiev	3265553308585	Kherson	UA
Australia/Sydney	5047442904669	Strathfield	AU
Europe/Rome	7112159960906	Agrigento	IT
