browser_name	pct_input	wild_mouse_duration	pct_scroll_move_duration	pct_wild_mouse	session_start	pct_doubleclick	pct_rage_click	pct_click	page_activity_duration	product_ean	pct_scrandom	mouse_move_total_rel_distance	pct_click_product_info	scroll_move_total_rel_distance	session_id	pct_mouse_click	pct_scroll_move	user_id	screen_width	session_duration	screen_height	total_load_time	ack	pct_mouse_move
edge	0.07114	8.50399	10.22425	50.65504	2023-03-15 10:38:49	8.60861	31.55566	9.14238	9.00478	4976359823798	33.93644	8.16204	83.80201	9.01873	1384090	10.85479	40.95942	1938	1024	172.75160	768	1.25914	0.00000	8.62751
chrome	0.10109	8.95544	9.69347	76.73518	2023-04-25 09:19:12	10.12348	55.21685	9.43285	7.24299	6948089507666	32.03816	13.65638	56.46622	7.29786	138437	8.35874	49.77018	834	1024	85.38824	1080	3.82229	0.00000	8.86196
edge	0.05422	7.99251	10.64177	53.55736	2021-11-12 18:20:39	12.81362	65.05878	8.88427	8.57273	5740808007751	69.57321	9.65343	43.55193	9.46889	988013	11.19418	37.02088	234	1024	211.85166	lower	2.95435	0.00000	12.63785
chrome	2.93337	12.43313	11.66496	53.57269	2019-06-16 11:52:21	11.47460	42.03178	5.90567	14.83796	8318220484633	47.33942	12.78577	53.31119	11.07395	533628	11.25099	53.48991	480	1366	85.23374	800	15.31637	1.00000	16.44114
chrome	0.21288	9.76466	8.90870	43.65316	2019-05-03 01:20:55	10.12207	71.27358	10.58331	10.90086	6289105948552	56.82910	13.52185	49.69498	7.64556	852437	9.85400	57.25751	1859	800	117.35822	768	2.54138	0.00000	9.14993
firefox	0.06090	8.15451	11.05200	66.41063	2023-07-17 15:06:10	8.43877	56.58394	11.46619	11.86958	9947459905634	50.34713	12.34594	68.81450	7.15739	1032656	10.96685	33.31373	2319	higher	159.75206	1080	1.33186	0.00000	7.67341
chrome	1.20195	11.52778	12.13323	61.61002	2019-06-26 14:29:34	8.24130	58.38145	8.08351	12.74824	3296147457013	58.02183	14.39074	60.18442	13.54007	304922	10.33379	46.27738	2358	800	90.38735	768	2.08801	1.00000	15.04816
edge	0.03892	7.44773	9.94266	47.36587	2022-12-17 02:03:01	13.85282	72.54385	6.74414	9.66672	2507390908346	22.81640	10.68391	52.30728	7.31481	84958	10.22401	63.44546	2098	1920	192.53093	768	4.11106	0.00000	14.03262
edge	0.07007	8.38669	10.66047	47.06182	2021-10-19 22:24:42	8.47639	43.20866	13.05955	13.15473	5505991313665	38.32439	12.55436	58.22715	7.94889	760290	11.40145	67.10325	920	1024	125.72435	800	7.86661	0.00000	7.60803
edge	0.04383	7.38157	10.57099	37.38985	2020-12-22 15:23:42	12.33285	55.24227	7.20068	9.74080	9630748947544	62.80569	12.70886	51.25940	7.58077	479657	11.74773	60.43267	1939	1920	162.31247	768	3.70512	0.00000	13.62530
safari	2.24061	12.15830	9.46085	49.63227	2019-06-23 22:31:42	9.01089	68.01844	8.54863	13.77421	6723577420999	49.70967	13.73994	57.31651	13.08470	894424	10.59984	82.26625	1710	1920	178.58380	768	0.55435	1.00000	14.64980
chrome	3.37837	12.57350	9.78476	67.24922	2019-08-08 15:19:41	9.88285	45.93525	7.28323	11.88142	9399510162676	57.92673	10.93932	50.06368	10.51704	1452988	12.09139	65.41996	1982	1920	123.81918	800	5.04906	1.00000	12.12363
edge	0.03187	6.94541	9.19118	52.87427	2018-11-22 03:53:17	9.22944	44.55751	8.93896	8.72938	4536119516867		8.43129	41.51971	9.17319	1398972	9.69309	49.23484	1580	1280	102.45635	1024	6.10522	1.00000	10.09615
edge	7.52159	13.37727	9.40215	52.10060	2020-09-28 10:01:29	8.88447	60.29054	9.48602	11.47414	8872451351145	52.79554	9.26441	44.26057	10.57334	931725	11.13292	22.78020	70	1366	135.54280	768	2.98856	1.00000	8.75516
chrome	0.07255	8.50805	10.85485	50.00667	2018-11-25 06:14:28	11.71031	56.97238	8.22772	8.35954	9500069237511	27.68949	9.86593	46.06986	5.99390	290633	10.65147	56.88085	1347	1024	215.74949	1024	7.08593	0.00000	9.05316
edge	0.11871	9.14469	9.65425	62.24126	2020-04-08 12:32:49	8.32125	36.35327	10.57823	10.74522	2628965334503	41.74083	12.14086	88.80014	8.33101	362283	10.44702	54.46109	637	lower	186.47088	768	4.07573	0.00000	8.34785
edge	2.18469	12.13930	9.75770	30.16582	2019-11-22 10:44:07	9.55404	34.25848	7.96539	10.95250	3937881797170	31.04809	10.96116	65.96854	11.98211	559092	10.46011	54.67076	288	1366	128.40840	800	1.98744	1.00000	12.58037
safari	0.02581	6.77174	12.10274	47.28334	2021-12-16 20:26:57	9.48932	45.94573	9.08723	9.27410	5222668665840	50.43882	11.06349	58.72095	7.84357	1181872	10.52359	41.97265	23	1280	130.05636	800	2.63397	0.00000	10.12369
firefox	0.02459	6.36559	8.51296	65.23181	2020-06-27 00:57:26	12.96547	57.29926	8.67341	8.22757	5419518600544	38.04507	11.27365	77.73582	10.38958	738315	9.73910	50.40711	1707	1280	147.35823	1080	2.07261	0.00000	14.92715
edge	0.06580	8.51864	9.06747	46.12321	2020-12-30 03:20:43	8.60159	40.41573	8.88857	7.37791	2361259238186	54.16389	9.22405	44.29138	7.58668	959558	10.70828	36.96140	1980	1920	58.56629	768	1.69500	1.00000	7.31315
mobile	0.20767	9.74053	8.84961	64.19428	2023-03-21 03:20:32	11.86294	56.41201	8.56736	8.94148	2387597161818	69.34002	13.94713	49.24894	9.57635	1226157	9.79478	81.50030	774	1280	137.65376	800	3.34017	0.00000	13.00630
edge	0.02540	7.23291	11.26348	51.75962	2021-11-19 15:00:38	12.81538	43.84296	8.44737	8.62236	3658135247189	42.04841	13.06015	50.75048	10.14849	667225	8.84485	83.48669	1344	1920	76.60063	lower	7.00249	0.00000	15.07934
